Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"1,1,2,3,3,6-Hexamethylindan-5-yl methyl ketone"	"239-360-0"	"15323-35-0"	"134"	"1,1,2,3,3,6-Hexamethylindan-5-yl methyl ketone"	"15323-35-0"	"239-360-0"	"Leave-on products"	""	"2 %"	""	""	""	""	""	""	
"1,1,2,3,3,6-Hexamethylindan-5-yl methyl ketone"	"239-360-0"	"15323-35-0"	"134"	"1,1,2,3,3,6-Hexamethylindan-5-yl methyl ketone"	"15323-35-0"	"239-360-0"	"Rinse-off products"	""	""	""	""	""	""	""	""	
"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"202-223-0"	"93-15-2"	"102"	"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"93-15-2"	"202-223-0"	"Fine fragrance"	""	"0.01 %"	""	""	""	""	""	""	
"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"202-223-0"	"93-15-2"	"102"	"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"93-15-2"	"202-223-0"	"Fragrance cream"	""	"0.002 %"	""	""	""	""	""	""	
"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"202-223-0"	"93-15-2"	"102"	"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"93-15-2"	"202-223-0"	"Rinse-off products"	""	"0.001 %"	""	""	""	""	""	""	
"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"202-223-0"	"93-15-2"	"102"	"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"93-15-2"	"202-223-0"	"Oral products"	""	"0.0002 %"	""	""	""	""	""	""	
"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"202-223-0"	"93-15-2"	"102"	"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"93-15-2"	"202-223-0"	"Eau de toilette"	""	"0.004 %"	""	""	""	""	""	""	
"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"202-223-0"	"93-15-2"	"102"	"1,2-Dimethoxy-4-(2-propenyl)-benzene"	"93-15-2"	"202-223-0"	"Leave-on products other than fine fragrance, eau de toilette, and fragrance cream products"	""	"0.0002 %"	""	""	""	""	""	""	
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta-γ-2-benzopyran"	"214-946-9"	"1222-05-5"	"336"	"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta-γ-2-benzopyran"	"1222-05-5"	"214-946-9"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1,3-Benzenediol"	"203-585-2"	"108-46-3"	"22"	"1,3-Benzenediol"	"108-46-3"	"203-585-2"	"Professional use cosmetic products for coloring eyelashes"	""	"1.25 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.25 %For professional use only"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Contains resorcinol. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"1,3-Benzenediol"	"203-585-2"	"108-46-3"	"22"	"1,3-Benzenediol"	"108-46-3"	"203-585-2"	"Hair dye substance in oxidative hair dye products"	""	"1.25 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.25 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains resorcinol. Rinse hair well after application. Rinse eyes immediately if product comes into contact with them. Do not use to dye eyelashes.&#39;&#39;"	""	
"1,3-Benzenediol"	"203-585-2"	"108-46-3"	"22"	"1,3-Benzenediol"	"108-46-3"	"203-585-2"	"Hair lotions and shampoos"	""	"0.5 %"	""	""	""	""	"Contains resorcinol"	""	
"1,3-Benzenediol, 2-methyl"	"210-155-8"	"608-25-3"	"243"	"1,3-Benzenediol, 2-methyl"	"608-25-3"	"210-155-8"	"Hair dye substance in oxidative hair dye products"	""	"1.8 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.8 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"1,3-Benzenediol, 2-methyl"	"210-155-8"	"608-25-3"	"243"	"1,3-Benzenediol, 2-methyl"	"608-25-3"	"210-155-8"	"Professional use cosmetic products for coloring eyelashes"	""	"1.25 %"	""	"After mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 1.25 %For professional use only"	""	""	"As from 3 March 2018, to be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your eyelashes if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair or eyelashes, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. For professional use only. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"1,3-Benzenediol, 2-methyl"	"210-155-8"	"608-25-3"	"243"	"1,3-Benzenediol, 2-methyl"	"608-25-3"	"210-155-8"	"Hair dye substance in non-oxidative hair dye products"	""	"1.8 %"	""	""	""	""	""	""	
"1,3-Benzenediol, 4-chloro-"	"202-462-0"	"95-88-5"	"199"	"1,3-Benzenediol, 4-chloro-"	"95-88-5"	"202-462-0"	"Hair dye substance in oxidative hair dye products"	""	"2.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.5 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"1,3-Bis (hydroxymethyl)imidazolidine-2-thione"	"239-579-1"	"15534-95-9"	"44"	"1,3-Bis (hydroxymethyl)imidazolidine-2-thione"	"15534-95-9"	"239-579-1"	"Hair products"	""	"2 %"	""	"Not to be used in aerosol dispensers (sprays)"	""	""	"Contains Dimethylol ethylene thiourea"	""	
"1,3-Bis (hydroxymethyl)imidazolidine-2-thione"	"239-579-1"	"15534-95-9"	"44"	"1,3-Bis (hydroxymethyl)imidazolidine-2-thione"	"15534-95-9"	"239-579-1"	"Nail products"	""	"2 %"	""	""	"pH &lt; 4"	""	"Contains Dimethylol ethylene thiourea"	""	
