Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"Monoalkylamines"	"-"	"-"	"61"	"Monoalkylamines"	""	""	"All cosmetic products"	""	"0.5 %"	""	"Not to be used with nitrosating systems- Minimum purity: 99 %Maximum secondary amine content: 0,5 % (applies to raw materials)Maximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers"	"Maximum secondary amine content"	""	""	""	
"N,N',N'-Tris(polyoxyethylene)-N-hexadecylpropylenediamine dihydrofluoride"	"-"	"-"	"38"	"N,N&#39;,N&#39;-Tris(polyoxyethylene)-N-hexadecylpropylenediamine dihydrofluoride"	""	""	"Oral products"	""	"0.15 %"	""	"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %"	""	"As F"	"Contains N,N&#39;,N&#39;-tris(polyoxyethylene)-N-hexadecylpropylenediamine dihydrofluoride. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39; case of intake of fluoride from other sources consult a dentist or doctor.&#39;"	""	
"N-(2-Hydroxyethyl)-2-nitro-4-trifluormethyl-aniline"	"443-760-2"	"10442-83-8"	"261"	"N-(2-Hydroxyethyl)-2-nitro-4-trifluormethyl-aniline"	"10442-83-8"	"443-760-2"	"Hair dye substance in oxidative hair dye products"	""	"2.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.5 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	"After mixing under oxidative conditions the maximum concentration applied to hair"	
"N-(2-Hydroxyethyl)-2-nitro-4-trifluormethyl-aniline"	"443-760-2"	"10442-83-8"	"261"	"N-(2-Hydroxyethyl)-2-nitro-4-trifluormethyl-aniline"	"10442-83-8"	"443-760-2"	"Hair dye substance in non-oxidative hair dye products"	""	"2.5 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	""	
"N-Alkyl dimethyl benzyl ammonium chloride (C12-C18)"	"269-919-4"	"68391-01-5"	"65"	"N-Alkyl dimethyl benzyl ammonium chloride (C12-C18)"	"68391-01-5"	"269-919-4"	"Rinse-off hair (head) products"	""	"3 %"	""	"In the final products the concentrations of benzalkonium chloride, bromide and saccharinate with an alkyl chain of C14, or less must not exceed 0.1% (as benzalkonium chloride)For purposes other than inhibiting the development of micro-organisms in the product. This purpose has to be apparent from the presentation of the product"	""	"As benzalkonium chloride"	"Avoid contact with eyes"	"For use as a preservative, see Annex V, No. 54"	
"N-substituted derivatives of o-Phenylenediamine, with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II"	"-"	"-"	"8"	"N-substituted derivatives of o-Phenylenediamine, with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II"	""	""	"Professional use hair dye substance in oxidative hair dye products"	""	"3 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"	"These substances may be used singly or in combination provided that the sum of the ratios of the levels of each of them in the cosmetic product expressed with reference to the maximum level authorised for each of them does not exceed 1"	
"N-substituted derivatives of p-Phenylenediamine, with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II"	"-"	"-"	"8"	"N-substituted derivatives of p-Phenylenediamine, with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II"	""	""	"General use hair dye substance in oxidative hair dye products"	""	"3 %"	""	"For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"	"These substances may be used singly or in combination provided that the sum of the ratios of the levels of each of them in the cosmetic product expressed with reference to the maximum level authorised for each of them does not exceed 1"	
"Naphthalene-1,5-diol"	"201-487-4"	"83-56-7"	"238"	"Naphthalene-1,5-diol"	"83-56-7"	"201-487-4"	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Naphthalene-1,5-diol"	"201-487-4"	"83-56-7"	"238"	"Naphthalene-1,5-diol"	"83-56-7"	"201-487-4"	"Hair dye substance in non-oxidative hair dye products"	""	"1 %"	""	""	""	""	""	""	
"Naphthalene-2,7-diol"	"209-478-7"	"582-17-2"	"216"	"Naphthalene-2,7-diol"	"582-17-2"	"209-478-7"	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp. you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Naphthalene-2,7-diol"	"209-478-7"	"582-17-2"	"216"	"Naphthalene-2,7-diol"	"582-17-2"	"209-478-7"	"Hair dye substance in non-oxidative hair dye products"	""	"1 %"	""	""	""	""	""	""	
"Narcissus jonquilla extract"	"290-086-8"	"90064-25-8"	"363"	"Narcissus jonquilla extract"	"90064-25-8"	"290-086-8"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Narcissus Extract&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Narcissus poeticus extract;Narcissus poeticus oils"	"290-087-3"	"68917-12-4;90064-26-9"	"363"	"Narcissus poeticus oils"	"68917-12-4"	""	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Narcissus Extract&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Narcissus poeticus extract;Narcissus poeticus oils"	"290-087-3"	"68917-12-4;90064-26-9"	"363"	"Narcissus poeticus extract"	"90064-26-9"	"290-087-3"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Narcissus Extract&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Narcissus pseudonarcissus extract"	"290-088-9"	"90064-27-0"	"363"	"Narcissus pseudonarcissus extract"	"90064-27-0"	"290-088-9"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Narcissus Extract&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Nitromethane"	"200-876-6"	"75-52-5"	"18"	"Nitromethane"	"75-52-5"	"200-876-6"	"All cosmetic products"	"Rust inhibitor"	"0.3 %"	""	""	""	""	""	""	
"o-Hydroxybenzaldehyde"	"201-961-0"	"90-02-8"	"340"	"o-Hydroxybenzaldehyde"	"90-02-8"	"201-961-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Oak moss extract"	"289-861-3"	"90028-68-5"	"91"	"Oak moss extract"	"90028-68-5"	"289-861-3"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"Opopanax chironium resin"	"297-241-9"	"93384-32-8"	"184"	"Opopanax chironium resin"	"93384-32-8"	""	"All cosmetic products"	""	"0.6 %"	""	""	""	""	""	""	
"Oxacycloheptadecan-2-one"	"203-662-0"	"109-29-5"	"335"	"Oxacycloheptadecan-2-one"	"109-29-5"	"203-662-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Oxalic acid"	"205-634-3"	"144-62-7"	"3"	"Oxalic acid"	"144-62-7"	"205-634-3"	"Professional use hair products"	""	"5 %"	""	"For professional use only"	""	""	"For professional use only"	""	
"p-(Methylamino)phenol sulphate"	"217-706-1"	"1936-57-8"	"223"	"p-(Methylamino)phenol sulphate"	"1936-57-8"	"217-706-1"	"Hair dye substance in oxidative hair dye products"	""	"0.68 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.68 % (as sulphate)Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	"As sulfate"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"p-Mentha-1,3-diene"	"202-795-1"	"99-86-5"	"131"	"p-Mentha-1,3-diene"	"99-86-5"	"202-795-1"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off productsPeroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic productCosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"p-Mentha-1,4(8)-diene"	"209-578-0"	"586-62-9"	"133"	"p-Mentha-1,4(8)-diene"	"586-62-9"	"209-578-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off productsPeroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic productCosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"p-Mentha-1,8-dien-7-al"	"218-302-8"	"2111-75-3"	"169"	"p-Mentha-1,8-dien-7-al"	"2111-75-3"	"218-302-8"	"Oral products"	""	""	""	""	""	""	""	""	
"p-Mentha-1,8-dien-7-al"	"218-302-8"	"2111-75-3"	"169"	"p-Mentha-1,8-dien-7-al"	"2111-75-3"	"218-302-8"	"Cosmetic products other than oral products"	""	"0.1 %"	""	""	""	""	""	""	
"p-Methylaminophenol"	"205-768-2"	"150-75-4"	"223"	"p-Methylaminophenol"	"150-75-4"	"205-768-2"	"Hair dye substance in oxidative hair dye products"	""	"0.68 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.68 % (as sulphate)Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	"As sulfate"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"p-Methylaminophenol sulphate"	"200-237-1"	"55-55-0"	"223"	"p-Methylaminophenol sulphate"	"55-55-0"	"200-237-1"	"Hair dye substance in oxidative hair dye products"	""	"0.68 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.68 % (as sulphate)Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	"As sulfate"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"p-Phenylenediamine"	"203-404-7"	"106-50-3"	"8a"	"p-Phenylenediamine"	"106-50-3"	"203-404-7"	"Professional use hair dye substance in oxidative hair dye products"	""	"2 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"	""	
"p-Phenylenediamine"	"203-404-7"	"106-50-3"	"8a"	"p-Phenylenediamine"	"106-50-3"	"203-404-7"	"General use hair dye substance in oxidative hair dye products"	""	"2 %"	""	"For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"	""	
"p-Phenylenediamine"	"203-404-7"	"106-50-3"	"8b"	"p-Phenylenediamine"	"106-50-3"	"203-404-7"	"Professional use cosmetic products for coloring eyelashes"	""	"2 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"	""	
"p-Phenylenediamine HCl"	"210-834-9"	"624-18-0"	"8a"	"p-Phenylenediamine HCl"	"624-18-0"	"210-834-9"	"Professional use hair dye substance in oxidative hair dye products"	""	"2 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"	""	
"p-Phenylenediamine HCl"	"210-834-9"	"624-18-0"	"8a"	"p-Phenylenediamine HCl"	"624-18-0"	"210-834-9"	"General use hair dye substance in oxidative hair dye products"	""	"2 %"	""	"For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"	""	
"p-Phenylenediamine HCl"	"210-834-9"	"624-18-0"	"8b"	"p-Phenylenediamine HCl"	"624-18-0"	"210-834-9"	"Professional use cosmetic products for coloring eyelashes"	""	"2 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"	""	
"p-Phenylenediamine sulphate"	"240-357-1"	"16245-77-5"	"8b"	"p-Phenylenediamine sulphate"	"16245-77-5"	"240-357-1"	"Professional use cosmetic products for coloring eyelashes"	""	"2 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"	""	
"p-Phenylenediamine sulphate"	"240-357-1"	"16245-77-5"	"8a"	"p-Phenylenediamine sulphate"	"16245-77-5"	"240-357-1"	"Professional use hair dye substance in oxidative hair dye products"	""	"2 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"	""	
"p-Phenylenediamine sulphate"	"240-357-1"	"16245-77-5"	"8a"	"p-Phenylenediamine sulphate"	"16245-77-5"	"240-357-1"	"General use hair dye substance in oxidative hair dye products"	""	"2 %"	""	"For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"	""	
"Peanut Acid"	"293-087-1"	"91051-35-3"	"306"	"Peanut Acid"	"91051-35-3"	"293-087-1"	"All cosmetic products"	""	""	""	"Maximum concentration of peanut proteins is 0.5 ppm"	""	""	""	"From 25 September 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be placed on the Union marketFrom 25 December 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be made available on the Union market"	
"Peanut Glycerides"	"294-643-6"	"91744-77-3"	"306"	"Peanut Glycerides"	"91744-77-3"	"294-643-6"	"All cosmetic products"	""	""	""	"Maximum concentration of peanut proteins is 0.5 ppm"	""	""	""	"From 25 September 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be placed on the Union marketFrom 25 December 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be made available on the Union market"	
"Peanut oil extracts"	"232-296-4"	"8002-03-7"	"306"	"Peanut oil extracts"	"8002-03-7"	"232-296-4"	"All cosmetic products"	""	""	""	"Maximum concentration of peanut proteins is 0.5 ppm"	""	""	""	"From 25 September 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be placed on the Union marketFrom 25 December 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be made available on the Union market"	
"Peanut Oil PEG-6 Esters"	"-"	"68440-49-3"	"306"	"Peanut Oil PEG-6 Esters"	"68440-49-3"	""	"All cosmetic products"	""	""	""	"Maximum concentration of peanut proteins is 0.5 ppm"	""	""	""	"From 25 September 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be placed on the Union marketFrom 25 December 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be made available on the Union market"	
"Peanutamide MEA"	"297-433-2"	"93572-05-5"	"306"	"Peanutamide MEA"	"93572-05-5"	"297-433-2"	"All cosmetic products"	""	""	""	"Maximum concentration of peanut proteins is 0.5 ppm"	""	""	""	"From 25 September 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be placed on the Union marketFrom 25 December 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be made available on the Union market"	
"Pelargonium graveolens extract"	"290-140-0"	"90082-51-2"	"364"	"Pelargonium graveolens extract"	"90082-51-2"	"290-140-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Pelargonium graveolens oil"	"616-774-3"	"8000-46-2"	"364"	"Pelargonium graveolens oil"	"8000-46-2"	""	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Pentyl-2-hydroxy-benzoate"	"218-080-2"	"2050-08-0"	"328"	"Pentyl-2-hydroxy-benzoate"	"2050-08-0"	"218-080-2"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Phenol, 2,2'-methylenebis[4-amino-], dihydrochloride"	"440-850-3"	"27311-52-0"	"284"	"Phenol, 2,2&#39;-methylenebis[4-amino-], dihydrochloride"	"27311-52-0"	"440-850-3"	"Hair dye substance in non-oxidative hair dye products"	""	"1 %"	""	""	""	""	""	""	
"Phenol, 2,2'-methylenebis[4-amino-], dihydrochloride"	"440-850-3"	"27311-52-0"	"284"	"Phenol, 2,2&#39;-methylenebis[4-amino-], dihydrochloride"	"27311-52-0"	"440-850-3"	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
