,,,27-8 [2]/,7 [2],,end-user's lungs by inhalation,,,
,,,28757-47-3,,,,,,
,,,[3]/ 133029-,,,,,,
,,,32-0 [4],,,,,,
29,2-Phenoxyethanol,PHENOXYETHANOL,122-99-6,204-589-7,1.0%,,,,28/07/2020
30,Methenamine,METHENAMINE,100-97-0,202-905-8,0.15%,,,,02/08/2021
32,1-(4-Chlorophenoxy)-1-(imidazol-,CLIMBAZOLE,38083-17-9,253-775-4,"(a) 0,2 %",,,,28/07/2020
,"1-yl)-3,3-dimethylbutan-2-one",,,,"(b) 0,2 %",,,,
,,,,,"(c) 0,2 %",,,,
,,,,,"(d) 0,5 %",,,,
33,"1,3-Bis(hydroxymethyl)-5,5-",DMDM HYDANTOIN,6440-58-0,229-222-8,0.6%,,,,02/08/2021
,"dimethylimidazolidine-2,4-dione",,,,,,,,
34,Benzyl alcohol (7),BENZYL ALCOHOL,100-51-6,202-859-9,1.0%,,,,26/07/2013
35,"1-Hydroxy-4-methyl-6-(2,4,4-","1-Hydroxy-4-methyl-6-(2,4,4-",50650-76-5 /,- / 272-574-2,a) 1.0%,,,,16/10/2010
,trimethylpentyl)-2 pyridon and its,"trimethylpentyl)-2 pyridon,",68890-66-4,,b) 0.5%,,,,
,monoethanolamine salt,piroctone olamine,,,,,,,
36,Moved or deleted,,,,,,,,16/10/2010
37,"2,2'-Methylenebis(6-bromo-4-",BROMOCHLOROPHENE,15435-29-7,239-446-8,0.1%,,,,25/10/2010
,chlorophenol),,,,,,,,
38,4-Isopropyl-m-cresol,O-CYMEN-5-OL,3228-02-2,221-761-7,0.1%,,,,16/10/2010
,,Substance identification,,,,Conditions,,,
Reference,,Name of Common Ingredients,,,,Maximum concentration in,,Wording of conditions of use,
Number,Chemical name / INN,Glossary,CAS Number,EC Number,"Product Type, body parts",ready for use preparation,Other,and warnings,Update date
39,Mixture of 5-Chloro-2-methyl-,METHYLCHLOROISOTHIAZOLINO,"26172-55-4,","247-500-7,",0.0015% (of a mixture in the ratio,,,,28/09/2022
,isothiazol-3(2H)-one and 2-,NE AND,"2682-20-4,",220-239-6,3:1 of 5-Chloro-2-methyl-,,,,
,Methylisothiazol-3(2H)-one with,METHYLISOTHIAZOLINONE,55965-84-9,,isothiazol-3(2H)-one and 2-,,,,
,magnesium chloride and,,,,Methylisothiazol-3(2H)-one,,,,
,magnesium nitrate,,,,,,,,
42,"N,N'-bis(4-chlorophenyl)-3,12-",CHLORHEXIDINE /,55-56-1 / 56-,200-238-7 /,0.3% (as chlorhexidine),,,,16/10/2010
,"diimino-2,4,11,13-",CHLORHEXIDINE DIACETATE /,95-1 / 18472-,200-302-4 /,,,,,
,tetraazatetradecanediamidine,CHLORHEXIDINE DIGLUCONATE /,51-0 / 3697-,242-354-0 /,,,,,
,"and its digluconate, diacetate and",CHLORHEXIDINE,42-5,223-026-6,,,,,
,dihydrochloride,DIHYDROCHLORIDE,,,,,,,
43,1-Phenoxypropan-2-ol (8),PHENOXYISOPROPANOL,770-35-4,212-222-7,1.0%,,,,09/11/2010
44,Alkyl (C12-C22) trimethyl,BEHENTRIMONIUM CHLORIDE (1),17301-53-0 /,241-327-0 /,0.1%,,,,15/01/2015
,ammonium bromide and chloride,/ CETRIMONIUM BROMIDE /,57-09-0 /,200-311-3 /,,,,,
,,CETRIMONIUM CHLORIDE (2)/,112-02-7 /,203-928-6 /,,,,,
,,LAURTRIMONIUM BROMIDE /,1119-94-4 /,214-290-3 /,,,,,
,,LAURTRIMONIUM CHLORIDE /,112-00-5 /,203-927-0 /,,,,,
,,STEARTRIMONIUM BROMIDE /,1120-02-1 /,214-294-5 /,,,,,
,,STEARTRIMONIUM CHLORIDE (2),112-03-8,203-929-1,,,,,
45,"4,4-Dimethyl-1,3-oxazolidine",DIMETHYL OXAZOLIDINE,51200-87-4,257-048-2,0.1%,pH > 6,,,16/10/2010
